,AUROC,AUPRC,Distribution similarity with ground-truth,Difference between KO and WT,Sequencing depth bias,Modification level bias,Speed,Memory efficiency
Max,1,1,1,1,1,1,1,1
Min,0,0,0,0,0,0,0,0
SingleMod,0.49,0.01,0.3388,0.688946453111508,0.85514,0.825,0.104849653596172,1
m6Anet,0.87,0.07,0.42089,1,0.4018,0.6307,0.759517177344475,0.811734749160256
TandemMod,0.64,0.07,0.3491,0.931628297274618,0.862,0.8565,0,0.827608624986456
EpiNano,0.42,0.01,0.3279,0.590499470976687,0.98,0.98,0.81751303478323,0.956261061147831
Dinopore,0.6,0.02,0.3534,0.923297700268768,0.677,0,0.33883294050425,0
Dorado,0.68,0.02,0.352,0,0.794,0.6372,1,0.968721782786145
NanoSPA,0.6,0,0.2485,0.999377333479271,0.05,0.98,0.688736518820084,0.962148300646513
